CovidDate,StateCode
2/14/2020,OR
2/14/2020,PA
2/14/2020,RI
2/14/2020,SC
2/14/2020,SD
2/14/2020,TN
2/14/2020,TX
2/14/2020,UT
2/14/2020,VT
2/14/2020,VA
2/14/2020,WA
2/14/2020,WV
2/14/2020,WI
2/14/2020,WY
2/15/2020,AL
2/15/2020,AK
2/15/2020,AZ
2/15/2020,AR
2/15/2020,CA
2/15/2020,CO
2/15/2020,CT
2/15/2020,DE
2/15/2020,DC
2/15/2020,FL
2/15/2020,GA
2/15/2020,HI
2/15/2020,ID
2/15/2020,IL
2/15/2020,IN
2/15/2020,IA
2/15/2020,KS
2/15/2020,KY
2/15/2020,LA
2/15/2020,ME
2/15/2020,MD
2/15/2020,MA
2/15/2020,MI
2/15/2020,MN
2/15/2020,MS
2/15/2020,MO
2/15/2020,MT
2/15/2020,NE
2/15/2020,NV
2/15/2020,NH
2/15/2020,NJ
2/15/2020,NM
2/15/2020,NY
2/15/2020,NC
2/15/2020,ND
2/15/2020,OH
2/15/2020,OK
2/15/2020,OR
2/15/2020,PA
2/15/2020,RI
2/15/2020,SC
2/15/2020,SD
2/15/2020,TN
2/15/2020,TX
2/15/2020,UT
2/15/2020,VT
2/15/2020,VA
2/15/2020,WA
2/15/2020,WV
2/15/2020,WI
2/15/2020,WY
2/16/2020,AL
2/16/2020,AK
2/16/2020,AZ
2/16/2020,AR
2/16/2020,CA
2/16/2020,CO
2/16/2020,CT
2/16/2020,DE
2/16/2020,DC
2/16/2020,FL
2/16/2020,GA
2/16/2020,HI
2/16/2020,ID
2/16/2020,IL
2/16/2020,IN
2/16/2020,IA
2/16/2020,KS
2/16/2020,KY
2/16/2020,LA
2/16/2020,ME
2/16/2020,MD
2/16/2020,MA
2/16/2020,MI
2/16/2020,MN
2/16/2020,MS
2/16/2020,MO
2/16/2020,MT
2/16/2020,NE
2/16/2020,NV
2/16/2020,NH
2/16/2020,NJ
2/16/2020,NM
2/16/2020,NY
2/16/2020,NC
2/16/2020,ND
2/16/2020,OH
2/16/2020,OK
2/16/2020,OR
2/16/2020,PA
2/16/2020,RI
2/16/2020,SC
2/16/2020,SD
2/16/2020,TN
2/16/2020,TX
2/16/2020,UT
2/16/2020,VT
2/16/2020,VA
2/16/2020,WA
2/16/2020,WV
2/16/2020,WI
2/16/2020,WY
2/17/2020,AL
2/17/2020,AK
2/17/2020,AZ
2/17/2020,AR
2/17/2020,CA
2/17/2020,CO
2/17/2020,CT
2/17/2020,DE
2/17/2020,DC
2/17/2020,FL
2/17/2020,GA
2/17/2020,HI
2/17/2020,ID
2/17/2020,IL
2/17/2020,IN
2/17/2020,IA
2/17/2020,KS
2/17/2020,KY
2/17/2020,LA
2/17/2020,ME
2/17/2020,MD
2/17/2020,MA
2/17/2020,MI
2/17/2020,MN
2/17/2020,MS
2/17/2020,MO
2/17/2020,MT
2/17/2020,NE
2/17/2020,NV
2/17/2020,NH
2/17/2020,NJ
2/17/2020,NM
2/17/2020,NY
2/17/2020,NC
2/17/2020,ND
2/17/2020,OH
2/17/2020,OK
2/17/2020,OR
2/17/2020,PA
2/17/2020,RI
2/17/2020,SC
2/17/2020,SD
2/17/2020,TN
2/17/2020,TX
2/17/2020,UT
2/17/2020,VT
2/17/2020,VA
2/17/2020,WA
2/17/2020,WV
2/17/2020,WI
2/17/2020,WY
2/18/2020,AL
2/18/2020,AK
2/18/2020,AZ
2/18/2020,AR
2/18/2020,CA
2/18/2020,CO
2/18/2020,CT
2/18/2020,DE
2/18/2020,DC
2/18/2020,FL
